,x,y,z
sub-032104,0.952778,-9.504889,-13.463222
sub-032105,0.894,-6.027875,-11.952125
sub-032107,0.336604,-7.205029,-12.838118
sub-032108,1.663436,-4.3775,-9.58375
sub-032198,-0.26325,-7.240625,-9.404875
sub-032199,0.332,-11.322625,33.391875
sub-032201,6.290067,2.579487,26.100542
sub-032203,-1.946087,-12.347766,32.760459
sub-032209,95.301875,28.142125,91.847125
sub-032210,64.405273,30.472708,56.403539
sub-032211,59.959688,18.824311,50.31575
sub-032212,64.944442,23.039453,54.84025
sub-032213,77.07575,57.283,97.56425
sub-032214,56.748327,60.071341,107.632879
sub-032215,74.661791,54.162615,100.563188
sub-032216,77.134967,60.487193,97.11952
